DATE,YMD,MJD,Source,Centre Freq,Log freq,Ott Flux density,Focus,HA,ZA,sec Z,X(Z),Dry Atmos transmission,Tamb,Humidity,PWV est,5GHz Zenith Tau @ 1400m,absorption at ZA,Radiometer,TND lcp,TND rcp,Tsys lcp,dTsys lcp,Tsys rcp,dTsys rcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp
2012d345_01h07m35s,,56271.04,HYDRA A,4800,3.681,13.549,4.5996,-17.4,21.39,1.074,1.073,0.9995,290.28,73.67,21.66,0.00837,1.00902, Dicke Switched ,6.3,6,56.09,1.651,60.15,0.389,-0.578,-0.48,-1.202,1.003,1.217,,,0.631,0.487,1.103,1.006,1.12,6.049,0.433,-0.541,-0.482,-1.115,1.001,1.126,,,0.584,0.442,0.998,1.007,1.014,6.681,0.392
2012d350_00h46m48s,,56276.03,HYDRA A,4800,3.681,13.549,4.6094,-17.6,21.59,1.075,1.075,0.9995,288.16,81.53,21.04,0.00829,1.00895, Dicke Switched ,6.3,6,52.42,0.652,56.27,0.289,-0.631,-0.405,-1.082,1.018,1.111,6.099,0.429,0.645,0.392,1.054,1.023,1.087,6.232,0.42,-0.611,-0.403,-1.034,1.016,1.06,6.394,0.41,0.6,0.361,0.957,1.024,0.988,6.854,0.382
2012d351_00h49m17s,,56277.03,HYDRA A,4800,3.681,13.549,4.6094,-16,20.44,1.067,1.067,0.9995,287.51,82.37,20.42,0.00822,1.00881, Dicke Switched ,6.3,6,,,,,-0.519,-0.504,-1.08,1,1.09,,,0.556,0.482,1.059,1.002,1.07,,,-0.523,-0.471,-1.013,1.001,1.023,,,0.523,0.483,0.983,1.001,0.993,,
2012d352_00h40m45s,,56278.02,HYDRA A,4800,3.681,13.549,4.5703,-17.2,21.26,1.073,1.072,0.9995,287.14,82.37,19.95,0.00816,1.00879, Dicke Switched ,6.3,6,54.9,0.508,56.81,0.378,-0.548,-0.506,-1.113,1.001,1.124,6.029,0.434,0.588,0.498,1.101,1.002,1.113,6.086,0.43,-0.528,-0.493,-1.023,1,1.033,6.559,0.399,0.521,0.444,1,1.002,1.011,6.701,0.391
2012d353_00h44m13s,,56279.03,HYDRA A,4800,3.681,13.549,4.5898,-15.3,19.96,1.064,1.063,0.9996,287.69,81.07,20.33,0.00821,1.00877, Dicke Switched ,6.3,6,52.25,0.628,56.64,0.285,-0.516,-0.488,-1.076,1,1.086,6.239,0.42,0.559,0.474,1.075,1.002,1.087,6.234,0.42,-0.47,-0.461,-1.06,1,1.069,6.336,0.413,0.522,0.417,0.972,1.005,0.985,6.878,0.381
2012d355_01h16m34s,,56281.05,HYDRA A,4800,3.681,13.549,4.6289,-5.29,14.61,1.033,1.033,0.9998,287.42,81.16,20,0.00817,1.00847, Dicke Switched ,6.3,6,51.17,0.52,56.69,0.394,-0.54,-0.471,-1.073,1.002,1.084,6.248,0.419,0.573,0.449,1.048,1.005,1.062,6.376,0.411,-0.544,-0.498,-1.051,1.001,1.061,6.386,0.41,0.561,0.409,0.977,1.009,0.995,6.811,0.385
2012d356_00h25m09s,,56282.01,HYDRA A,4800,3.681,13.549,4.6191,-17.1,21.24,1.073,1.072,0.9995,287.6,81.9,20.42,0.00822,1.00885, Dicke Switched ,6.3,6,56.47,1.27,58.91,0.332,-0.554,-0.434,-1.104,1.005,1.119,6.052,0.433,0.608,0.414,1.134,1.013,1.159,,,-0.58,-0.455,-1.049,1.005,1.064,6.366,0.411,0.572,0.389,1.002,1.013,1.025,6.612,0.396
2012d357_00h22m17s,,56283.01,HYDRA A,4800,3.681,13.549,4.6094,-16.9,21.05,1.072,1.071,0.9995,286.86,82.55,19.66,0.00813,1.00874,Dicke Switc,6.3,6,53.74,0.731,58.34,0.394,-0.583,-0.453,-1.105,1.006,1.121,6.041,0.434,0.61,0.451,1.074,1.008,1.092,6.203,0.422,-0.547,-0.453,-1.021,1.003,1.033,6.559,0.399,0.572,0.403,0.988,1.011,1.008,6.72,0.39
2012d358_00h20m50s,,56284.01,HYDRA A,4800,3.681,13.549,4.6289,-16.3,20.61,1.068,1.068,0.9995,287.69,79.68,19.98,0.00817,1.00876,Dicke Switc,6.3,6,51.61,0.519,57.5,0.28,-0.58,-0.43,-1.082,1.008,1.1,6.157,0.425,0.612,0.424,1.053,1.012,1.075,6.3,0.416,-0.578,-0.426,-1.028,1.008,1.046,6.477,0.404,0.574,0.41,0.972,1.01,0.99,6.84,0.383
2012d359_00h13m28s,,56285.01,HYDRA A,4800,3.681,13.549,4.6094,-17.1,21.22,1.073,1.072,0.9995,290.01,74.04,21.4,0.00834,1.00898,Dicke Switc,6.3,6,52.65,2.483,58.47,0.42,-0.607,-0.408,-1.085,1.014,1.11,6.101,0.429,0.658,0.407,1.039,1.021,1.071,6.327,0.414,-0.6,-0.399,-1.039,1.015,1.064,6.368,0.411,0.61,0.395,0.992,1.017,1.018,6.652,0.394
